ID,Nama,Jurusan,Tahun Lulus,Pekerjaan Saat Ini,Perusahaan,Skills,Project,Certificates,Organisasi,combined_features
5310,Siti Lestari,Electrical Engineering,2015,Power System Engineer,PLN,"PCB Design, MATLAB, Microcontroller Programming",Smart Home System,"PLC Programming Fundamentals, CompTIA IoT+",pufa_engineering | debate_club,seorang power system engineer lulusan electrical engineering dengan pengalaman di pln dan sertifikasi plc programming fundamentals  comptia iot
5311,Agus Lestari,Applied Mathematics,2015,Cryptographer,Telkomsel,"Python/R, Optimization, Statistical Inference",Time Series Forecasting,Data Science Professional Certificate,pumun | pudc | pusc,seorang cryptographer lulusan applied mathematics dengan pengalaman di telkomsel dan sertifikasi data science professional certificate
5312,Indah Sihombing,Actuarial Science,2017,Insurance Underwriter,Telkomsel,"Data Analysis, Probability Theory, Financial Math",Pension Liability Calculation,SOA Exam FM (Financial Mathematics),puma_actuarial_science | accounting_club | pumun,seorang insurance underwriter lulusan actuarial science dengan pengalaman di telkomsel dan sertifikasi soa exam fm  financial mathematics
5313,Imam Lestari,Information Technology,2017,Full Stack Developer,Tokopedia,"Data Structures, Docker/Kubernetes, SQL",E-commerce Platform,AWS Certified Cloud Practitioner,puma_information_technology,seorang full stack developer lulusan information technology dengan pengalaman di tokopedia dan sertifikasi aws certified cloud practitioner
5314,Putri Anggraini,Management,2018,HR Specialist,Unilever HR,"Employee Relations, Negotiation, Strategic Planning",Employee Engagement Survey,"SHRM-CP (Certified Professional), LinkedIn Recruiter Certification",pufa_business | purtc,profesional management dengan spesialisasi employee relations  negotiation  strategic planning dan pengalaman proyek employee engagement survey
5315,Budi Rahman,International Relations,2016,NGO Program Officer,Ogilvy Indonesia,"Cross-Cultural Communication, Negotiation, International Law",Humanitarian Aid Logistics,Conflict Resolution & Mediation,puma_international_relations | pudc | moot_court,alumni jurusan international relations berkarir sebagai ngo program officer di ogilvy indonesia  ahli dalam cross cultural communication  negotiation  international law
5316,Imam Suteja,International Relations,2023,Policy Analyst,Djarum,"Foreign Languages, Diplomacy, International Law",Diplomatic Protocol Handbook,Conflict Resolution & Mediation,puma_international_relations | purtc | pusc,seorang policy analyst lulusan international relations dengan pengalaman di djarum dan sertifikasi conflict resolution   mediation
5317,Galih Pasaribu,Visual Communication Design,2020,Web Designer,Djarum,"Visual Branding, Wireframing, User Research",Mobile App Interface Redesign,Typography Masterclass,puma_visual_communication_design | pufa_social_science_and_education,karir di bidang web designer dengan latar belakang pendidikan visual communication design dan aktif di puma visual communication design   pufa social science and education
5318,Fitri Wibowo,Applied Mathematics,2020,Data Scientist,PLN,"Optimization, Modeling, Linear Algebra",Predictive Maintenance Model,"Data Science Professional Certificate, Machine Learning (Stanford/Coursera)",puma_applied_mathematics | pufa_computer_science | accounting_club,alumni jurusan applied mathematics berkarir sebagai data scientist di pln  ahli dalam optimization  modeling  linear algebra
5319,Kartika Lestari,Communication,2018,Social Media Strategist,Mayora,"Crisis Management, Video Editing, Digital Marketing",Multimedia Production Series,"Meta Certified Professional, Google Digital Garage",puma_communication | pumun | pudc,profesional communication dengan spesialisasi crisis management  video editing  digital marketing dan pengalaman proyek multimedia production series
5320,Bayu Firdaus,Information Technology,2015,Mobile App Developer,Pertamina,"AWS, JavaScript, Microservices",Automated Testing Suite,AWS Certified Cloud Practitioner,pufa_computer_science | purtc | pudc,alumni jurusan information technology berkarir sebagai mobile app developer di pertamina  ahli dalam aws  javascript  microservices
5321,Rina Suteja,Industrial Engineering,2015,Process Improvement Consultant,Unilever,"Lean Manufacturing, System Modeling, Simulation (Arena)",Inventory Flow Analysis,Lean Six Sigma Green Belt,puma_industrial_engineering | pudc | accounting_club,profesional industrial engineering dengan spesialisasi lean manufacturing  system modeling  simulation  arena  dan pengalaman proyek inventory flow analysis
5322,Eko Manullang,Industrial Engineering,2017,Supply Chain Analyst,Traveloka,"Logistics, Statistical Process Control, Lean Manufacturing",Supply Chain Network Design,Certified Quality Engineer (CQE),pufa_engineering | purtc | fpci,profesional industrial engineering dengan spesialisasi logistics  statistical process control  lean manufacturing dan pengalaman proyek supply chain network design
5323,Rina Nugroho,Electrical Engineering,2020,Electrical Design Engineer,Pertamina,"Power Generation, Circuit Design, MATLAB",IoT Sensor Network,"CompTIA IoT+, PLC Programming Fundamentals",puma_electrical_engineering | purtc,alumni jurusan electrical engineering berkarir sebagai electrical design engineer di pertamina  ahli dalam power generation  circuit design  matlab
5324,Kartika Firdaus,Civil Engineering,2019,Construction Planner,Djarum,"Project Management, AutoCAD Civil 3D, BIM (Revit)",Road Infrastructure Planning,"CAPM (Project Management), OSHA 30-Hour Construction",puma_civil_engineering | accounting_club,seorang construction planner lulusan civil engineering dengan pengalaman di djarum dan sertifikasi capm  project management   osha 30 hour construction
5325,Cahya Gunawan,Financial Engineering,2015,Financial Modeler,Shopee,"Financial Modeling, C++, Python",Option Pricing Model,Bloomberg Market Concepts,aiesec,alumni jurusan financial engineering berkarir sebagai financial modeler di shopee  ahli dalam financial modeling  c    python
5326,Putri Lestari,Actuarial Science,2023,Insurance Underwriter,Ruangguru,"Risk Modeling, Data Analysis, Statistics",Life Insurance Pricing Model,Professional Risk Manager (PRM),pufa_business | puma_actuarial_science | aiesec,alumni jurusan actuarial science berkarir sebagai insurance underwriter di ruangguru  ahli dalam risk modeling  data analysis  statistics
5327,Vina Pasaribu,Environmental Engineering,2020,Waste Management Consultant,Mayora,"EIA (Environmental Impact Assessment), Water Treatment, Waste Management",Water Treatment Plant Design,"OSHA 30-Hour General Industry, ISO 14001 Lead Auditor",pufa_engineering | accounting_club,seorang waste management consultant lulusan environmental engineering dengan pengalaman di mayora dan sertifikasi osha 30 hour general industry  iso 14001 lead auditor
5328,Budi Permana,Accounting,2023,Financial Controller,Traveloka,"Taxation, Financial Reporting, MYOB",Budget Forecasting Model,"ACCA - Foundational Level, QuickBooks ProAdvisor",pufa_business | accounting_club,karir di bidang financial controller dengan latar belakang pendidikan accounting dan aktif di pufa business   accounting club
5329,Putri Lestari,Financial Engineering,2019,Derivatives Trader,Traveloka,"Financial Modeling, C++, Machine Learning",Option Pricing Model,"CQF (Quantitative Finance), FRM (Financial Risk Manager)",pufa_business,alumni jurusan financial engineering berkarir sebagai derivatives trader di traveloka  ahli dalam financial modeling  c    machine learning
5330,Yoga Anggraini,Law,2020,Regulatory Affairs Specialist,Djarum,"Moot Court, Legal Research, Litigation",Legal Due Diligence,"International Law Fundamentals, Certified Paralegal (CP)",pufa_social_science_and_education | fpci,seorang regulatory affairs specialist lulusan law dengan pengalaman di djarum dan sertifikasi international law fundamentals  certified paralegal  cp
5331,Vina Nugroho,Information Technology,2018,Cybersecurity Analyst,Djarum,"AWS, JavaScript, Docker/Kubernetes",Personal Portfolio Website,Google IT Support Professional,puma_information_technology,seorang cybersecurity analyst lulusan information technology dengan pengalaman di djarum dan sertifikasi google it support professional
5332,Rizky Hakim,Communication,2022,Corporate Communications Officer,Traveloka,"Content Strategy, Media Relations, Digital Marketing",Multimedia Production Series,"Public Relations Society of America (PRSA), Google Digital Garage",puma_communication | debate_club | pufa_social_science_and_education,karir di bidang corporate communications officer dengan latar belakang pendidikan communication dan aktif di puma communication   debate club   pufa social science and education
5333,Rizky Ramadhan,Applied Mathematics,2015,Quantitative Researcher,Telkomsel,"Modeling, Linear Algebra, Optimization",Time Series Forecasting,"Data Science Professional Certificate, SAS Certified Specialist",puma_applied_mathematics | aiesec,seorang quantitative researcher lulusan applied mathematics dengan pengalaman di telkomsel dan sertifikasi data science professional certificate  sas certified specialist
5334,Hani Ramadhan,Mechanical Engineering,2020,Design Engineer,Astra International,"Thermodynamics, Prototyping, CATIA",Engine Performance Test,SolidWorks Professional,pufa_engineering | moot_court,alumni jurusan mechanical engineering berkarir sebagai design engineer di astra international  ahli dalam thermodynamics  prototyping  catia
5335,Yoga Suteja,Marketing,2019,E-commerce Analyst,Mayora,"Content Marketing, SEO/SEM, Google Analytics",SEO Audit and Strategy,"Google Analytics, Google Ads",puma_marketing | aiesec,karir di bidang e commerce analyst dengan latar belakang pendidikan marketing dan aktif di puma marketing   aiesec
5336,Bayu Sihombing,Electrical Engineering,2019,R&D Electronics,Shopee,"Power Generation, Microcontroller Programming, PCB Design",IoT Sensor Network,"NFPA 70E (Electrical Safety), MATLAB Proficiency",purtc | puma_electrical_engineering,seorang r d electronics lulusan electrical engineering dengan pengalaman di shopee dan sertifikasi nfpa 70e  electrical safety   matlab proficiency
5337,Zara Hakim,Primary School Teacher Education,2021,Special Education Teacher,HighScope Indonesia,"Child Psychology, Classroom Management, Counseling",School Anti-Bullying Program,Google Certified Educator,pufa_social_science_and_education | aiesec | debate_club,profesional primary school teacher education dengan spesialisasi child psychology  classroom management  counseling dan pengalaman proyek school anti bullying program
5338,Nisa Nugroho,Industrial Engineering,2020,Supply Chain Analyst,Djarum,"Six Sigma, Simulation (Arena), Logistics",Value Stream Mapping,"CSCP (Certified Supply Chain Professional), Lean Six Sigma Green Belt",puma_industrial_engineering | pufa_engineering,profesional industrial engineering dengan spesialisasi six sigma  simulation  arena   logistics dan pengalaman proyek value stream mapping
5339,Vina Permana,Information Technology,2019,Cybersecurity Analyst,Ruangguru,"SQL, Data Structures, JavaScript",Cloud Migration Project,"Google IT Support Professional, CompTIA A+",puma_information_technology | pudc,profesional information technology dengan spesialisasi sql  data structures  javascript dan pengalaman proyek cloud migration project
